no,timeline,subtittle,text,ZHQDayQle9A
1,,月ノ森女子学園。創立100年の由緒ある名門校,츠키노모리 여학교. 창립 100년의 유서깊은 명문 학교.,
2,,通う生徒もお金持ちのお嬢様や大会とかコンクールで賞をとるような一流の人ばかり,다니는 학생도 부잣집 아가씨나대회와 콩쿠르에서 상을 받을 정도로 일류 사람들 뿐.,
3,,他の学校の子から憧れの視線を集める、それがここ、月ノ森,다른 학교 아이들한테 동경의 시선을 받는 그곳이 이곳 츠키노모리,
4,,この学校に入れば、私もきっと……,이 학교에 들어가면 나도 분명……,
5,,し、失礼しました……,시 실례했습니다……,
6,,はあ、ここならと思ったけど合唱部もダメだ……,하아 여기라면 될 것 같았는데 합창부도 안 되겠네……,
7,,（コンクールで何度も優勝してる部って聞いてたけど、有名な先生のレッスンを受けてるすごい人ばかり……）,(콩쿠르에서 몇 번이나 우승한 부라고 들었는데유명한 선생님한테 레슨을 받은 굉장한 사람들 뿐……),
8,,（誰でも歓迎って部員募集のポスターに書いてあっても、そんな人達の中に気軽に入れるわけないよ……！）,(누구나 환영한다고 부원모집 포스터에 쓰여 있어도그런 사람들 사이에 가볍게 들어갈 리 없잖아……!),
9,,あ、倉田さん。ごきげんよう,아 쿠라타 씨. 안녕하신가요.,
10,,えっ、あ、ご、ごきげんよう……ええと……,앗 네 아 안녕하신가요……그러니까……,
11,,ちょっと、倉田さん！私の名前思い出そうとしてない！？,뭐야 쿠라타 씨!내 이름 기억 못 하는 거야!?,
12,,もう、二葉だよ！学級委員長の二葉つくし！,정말 후타바라고!반장인 후타바 츠쿠시!,
13,,入学式からひと月たつんだから、クラスメイトの名前くらい覚えて！,입학식하고 한 달이나 지났으니까반 친구 이름 정도는 기억해!,
14,,ご、ごめんなさい……,미 미안해……,
15,,まあ、倉田さん外部生だし、学校に慣れるので大変なのはわかるけど……,뭐 쿠라타 씨는 다른 학교에서 왔으니학교에 적응하는 게 힘들다는 건 이해하는데……,
16,,ところで、こんなところで何してたの？ここって合唱部の練習場所だよね？,그런데 이런 곳에서 뭐 하고 있어?여긴 합창부 연습 장소잖아?,
17,,部活の見学してみようと思ったんだけど……,부활동 견학을 해보려고 했는데……,
18,,へぇ、部活見学かぁ。それで、合唱部に入るの？,호 부활동 견학이라.그래서 합창부에 들어가는 거야?,
19,,う、ううん、やめとく。私には合わない気がするから……,아 아니 관둘래.나랑 안 맞을 거 같아서……,
20,,ふーん、そうなんだ。あ、他の部の見学に行くなら案内してあげる！,흐음~ 그렇구나.아 다른 부 견학할 거면 안내해줄게!,
21,,…………,…………,
22,,倉田さん、まだ学校の施設に慣れてないでしょ？遠慮しないで。これも学級委員長の……,쿠라타 씨 아직 학교 시설 잘 모르지?사양하지 않아도 돼. 이것도 반장의……,
23,,あの、そろそろ行くね……,저기 그만 가 볼게……,
24,,え……？あ、ま、待ってよ、倉田さん！,응……?아 자 잠깐만 쿠라타 씨!,
25,,はあ……他の部もいろいろ見学してみたんだけどな……,하아……다른 부도 많이 견학해보고 싶지만……,
26,,（でも、どこの部も普通の学校とは次元が違う人ばかりで……私なんかが気軽に入れる感じじゃないし……）,(하지만 어느 부든 평범한 학교랑은 차원이 다른 사람뿐이야……나 같은 게 가볍게 들어갈 느낌이 아닌걸……),
27,,（憧れの学校に入れたら、平凡な私でも特別なものが見つかる……そう思ってたんだけど……）,(동경하던 학교에 들어가면 평범한 나라도특별한 것을 찾을 수 있겠지…… 그렇게 생각했는데……),
28,,（なんの取り柄もない普通の人が来るような場所じゃなかったのかな……）,(아무 장점도 없는 평범한 사람이 올 만한곳은 아니었던 걸까……),
29,,ちょうちょ……,나비……,
30,,（花壇の上をふらふら飛んでる……どの花にとまるか迷ってるのかな……？）,(화단 위를 하늘거리며 날고 있어……어느 꽃에 앉을지 망설이는 걸까……?),
31,,（それとも、ここは自分のいる場所じゃないと思ってるのかな）,(아니면 여기는 내가 있을 곳이 아니라고 생각하는 걸까.),
32,,あなたも私と同じだね……,너도 나랑 같구나……,
33,,……倉田さん？,……쿠라타 씨?,
34,,えっ？　ふ、二葉さん……！,앗? 후 후타바 씨……!,
35,,話してる途中でどっかに行っちゃったから、追いかけてきたけど……,말하던 도중에 어디론가 가버려서쫓아온 건데……,
36,,ぼーっとちょうちょに話しかけて……委員長として心配だよ、倉田さん！,멍하니 나비한테 말을 걸다니……반장으로서 걱정된다고 쿠라타 씨!,
37,,い、今のはその……,바 방금 그건 그게……,
38,,ははーん、さては何か悩んでるでしょ？そういうことなら、私が相談に乗ってあげる！,아하~ 그렇다면 뭔가 고민이 있는 거지?그런 거라면 내가 상담해 줄게!,
39,,え……？,응……?,
40,,こういう時こそ委員長の出番！どんな悩みだって解決してあげる！,이런 때야말로 반장이 나설 때야!무슨 고민이든지 해결해 줄게!,
41,,えっ、えっと……,그 그게……,
42,,……そっか。憧れの学校に入学すれば自分を変えられると思って受験をがんばったけど,……그렇구나. 동경하던 학교에 입학하면자신을 바꿀 수 있을 거라고 생각해서 입시를 열심히 했는데.,
43,,思ってたよりずっとすごい生徒ばかりで、やっていけるか自信がなくなっちゃったんだ,생각한 것보다 훨씬 굉장한 학생들 뿐이라해낼 수 있을지 자신이 없어졌구나.,
44,,クラスの子、コンクールでなんの賞をとったとかそんな話ばっかりしてるし……,반 애들은 콩쿠르에서 무슨 상을 받았다던가그런 이야기만 하고 있는걸……,
45,,それに、お金持ちばかりで会話のスケールが全然違うし……ついていけないよ……,게다가 부자뿐이라 이야기의 스케일이 남다르고……따라갈 수가 없어……,
46,,大丈夫だよ！　もっと自信を持って！この学校に入れたんだもん、倉田さんも特別な人だよ！,괜찮아! 좀 더 자신을 가져!이 학교에 들어왔는걸 쿠라타 씨도 특별한 사람이야!,
47,,自信を持つなんてムリだよ……,자신을 가지라니 무리야……,
48,,もー、月ノ森生ならそんなこと言っちゃダメ！,뭐야~ 츠키노모리 학생이라면 그런 말 하면 안 돼!,
49,,しょうがないなぁ……ね、明日時間ある？,별수 없지…… 저기 내일 시간 있어?,
50,,あるけど……,있는데……,
51,,じゃあ、元気が出るところに連れてってあげる！明日ね、ガールズバンドのライブイベントがあるんだ！,그러면 기운이 날 만한 곳으로 데려가 줄게!내일 있지 걸즈 밴드 라이브 이벤트가 있어!,
52,,ガールズバンド……？,걸즈 밴드……?,
53,,うん！　楽しいライブを観れば元気が出ると思う！こういう時は楽しいことして、気分転換するのが一番だよ！,응! 즐거운 라이브를 보면 기운이 날 거야!이럴 때는 즐겁게 놀고 기분전환을 하는 게 최고야!,
54,,い、いいよ。そういうバンド、テレビで観たことあるけど別に……それにライブハウスってちょっと怖いし……,괘 괜찮아.그런 밴드는 TV에서 본 적은 있는데 별로……그리고 라이브 하우스는 좀 무서워……,
55,,も〜！　いいから行くの！　私を信じて！ライブはテレビで観るよりずっとずーっと楽しいから！,뭐야~! 됐으니까 가자! 나를 믿어!라이브는 TV로 보는 것보다 엄청 더 재밌는걸!,
56,,…………,…………,
